업체명,경도,위도,숙박유형,숙박점수
베스티호텔,128.8539747,35.12819599,호텔/리조트,28.03
대저캠핑장,128.9910806,35.21594699,캠핑/카라반/글램핑,7.98
공항하숙,128.9557911,35.18070548,펜션/민박/유스호스텔,8.51
에어포트호텔,128.9545073,35.16569198,호텔/리조트,28.03
초롱블루펜션,128.8344939,35.0153664,펜션/민박/유스호스텔,8.51
대항체험마을민박,128.8276588,35.01166947,펜션/민박/유스호스텔,8.51
섬마을장어구이펜션,128.8275994,35.01415788,펜션/민박/유스호스텔,8.51
대항펜션,128.8274268,35.01373969,펜션/민박/유스호스텔,8.51
대항민박,128.827622,35.01312713,펜션/민박/유스호스텔,8.51
W모텔,128.9289018,35.10080432,펜션/민박/유스호스텔,8.51
비엠텔모텔,128.9280046,35.0989412,펜션/민박/유스호스텔,8.51
마틴호텔,128.9285519,35.10112933,호텔/리조트,28.03
JK호텔,128.9285144,35.10020443,호텔/리조트,28.03
모텔 제타,128.9294126,35.10393706,펜션/민박/유스호스텔,8.51
모텔 마르,128.9294125,35.10393697,펜션/민박/유스호스텔,8.51
헤리티지디자인호텔,128.928637,35.10036501,호텔/리조트,28.03
디자인팝 모텔,128.9279906,35.0990703,펜션/민박/유스호스텔,8.51
씨사이드모텔,128.9277224,35.09830653,펜션/민박/유스호스텔,8.51
비엠텔모텔,128.9280048,35.0989531,펜션/민박/유스호스텔,8.51
브라운도트호텔 명지점,128.92803,35.09919408,호텔/리조트,28.03
넘버25호텔,128.9081885,35.09402639,호텔/리조트,28.03
더포인트호텔,128.908121,35.09340432,호텔/리조트,28.03
호텔오유,128.9017599,35.09218239,호텔/리조트,28.03
오이아호텔명지,128.9001002,35.093931,호텔/리조트,28.03
씨엘오션호텔,128.9020713,35.09073409,호텔/리조트,28.03
신라스테이,128.9052621,35.09670494,호텔/리조트,28.03
넘버25호텔 명지오션시티점 비즈니스,128.9029945,35.08047764,호텔/리조트,28.03
오션시티호텔,128.9029961,35.08091563,호텔/리조트,28.03
사이버모텔,128.9042159,35.08268928,펜션/민박/유스호스텔,8.51
호텔프렌치코드,128.9042136,35.08361971,호텔/리조트,28.03
레전드호텔,128.8639555,35.15964789,호텔/리조트,28.03
베스트루이스해밀턴호텔 서부산점,128.8788042,35.1468498,호텔/리조트,28.03
성고개산장,128.8530819,35.11083486,펜션/민박/유스호스텔,8.51
벨라지오모텔,128.8811579,35.086613,펜션/민박/유스호스텔,8.51
IW모텔,128.8802745,35.08660413,펜션/민박/유스호스텔,8.51
호텔더메이,128.8793305,35.08661568,호텔/리조트,28.03
2월호텔,128.8789326,35.0866038,호텔/리조트,28.03
S모텔,128.878301,35.08661107,펜션/민박/유스호스텔,8.51
블랑비즈니스호텔,128.8813332,35.0869795,호텔/리조트,28.03
까르페호텔,128.8807388,35.08661741,호텔/리조트,28.03
호텔에그,128.8786857,35.0866149,호텔/리조트,28.03
2월호텔 강서신관,128.8810578,35.08700356,호텔/리조트,28.03
브라운도트호텔,128.8707373,35.08331539,호텔/리조트,28.03
더브레인호텔,128.8722958,35.08173773,호텔/리조트,28.03
호텔더원,128.8709693,35.08289233,호텔/리조트,28.03
V호텔,128.8807192,35.08639646,호텔/리조트,28.03
비지니스호텔,128.8811301,35.08639259,호텔/리조트,28.03
펀모텔,128.8801047,35.08638903,펜션/민박/유스호스텔,8.51
이그니스호텔,128.8793003,35.08637727,호텔/리조트,28.03
굿프라임호텔,128.8309512,35.14997988,호텔/리조트,28.03
헤르몬호텔,128.8322324,35.15009789,호텔/리조트,28.03
우진펜션,128.8123775,35.0315126,펜션/민박/유스호스텔,8.51
가덕부들펜션,128.8247616,35.03166293,펜션/민박/유스호스텔,8.51
로뎀펜션,128.8241144,35.03174159,펜션/민박/유스호스텔,8.51
꿈에그린펜션,128.8242522,35.0320609,펜션/민박/유스호스텔,8.51
가덕도펜션민박,128.8176455,35.02841583,펜션/민박/유스호스텔,8.51
초록펜션,128.8168296,35.02659721,펜션/민박/유스호스텔,8.51
노을빛펜션,128.8186208,35.02731297,펜션/민박/유스호스텔,8.51
은행나무펜션,128.8167941,35.02668722,펜션/민박/유스호스텔,8.51
가덕도힐링민박펜션,128.8162801,35.02727428,펜션/민박/유스호스텔,8.51
펜션GALLERY가덕,128.8225881,35.03410714,펜션/민박/유스호스텔,8.51
백수장,129.0875086,35.24362832,펜션/민박/유스호스텔,8.51
호텔G&G,129.0919301,35.24486672,호텔/리조트,28.03
카카오호텔,129.0914817,35.24438044,호텔/리조트,28.03
호텔캔들,129.0904558,35.2449448,호텔/리조트,28.03
제니스호텔,129.0907235,35.2449823,호텔/리조트,28.03
제니스호텔,129.0907183,35.24497552,호텔/리조트,28.03
쇼모텔,129.0917448,35.24602969,펜션/민박/유스호스텔,8.51
호텔야자,129.0916896,35.24743924,호텔/리조트,28.03
브라운도트 호텔 구서역점,129.0918741,35.24796884,호텔/리조트,28.03
티에스호텔,129.0909085,35.25682316,호텔/리조트,28.03
호텔프렌치코드,129.0922909,35.24489876,호텔/리조트,28.03
호텔시카고,129.0908739,35.25719867,호텔/리조트,28.03
목화장여관,129.0906196,35.25772178,펜션/민박/유스호스텔,8.51
드림모텔,129.1125727,35.22077248,펜션/민박/유스호스텔,8.51
천우장,129.1116956,35.21982244,펜션/민박/유스호스텔,8.51
V1모텔,129.1106617,35.21633713,펜션/민박/유스호스텔,8.51
V1모텔,129.1106485,35.21632982,펜션/민박/유스호스텔,8.51
새동진장여관,129.1094521,35.21398014,펜션/민박/유스호스텔,8.51
새동진장여관,129.1094485,35.21396062,펜션/민박/유스호스텔,8.51
이데아호텔,129.0912549,35.2250157,호텔/리조트,28.03
라찌모텔,129.0911854,35.24258278,펜션/민박/유스호스텔,8.51
이화모텔,129.1087541,35.21541627,펜션/민박/유스호스텔,8.51
젠모텔,129.1065015,35.21513983,펜션/민박/유스호스텔,8.51
부림모텔,129.1075125,35.21442326,펜션/민박/유스호스텔,8.51
헤이브호텔,129.1080432,35.21481219,호텔/리조트,28.03
호텔 블랑,129.107687,35.21500571,호텔/리조트,28.03
넘버25호텔,129.10752,35.21482716,호텔/리조트,28.03
베니스모텔,129.105935,35.21391911,펜션/민박/유스호스텔,8.51
쉐르빌모텔,129.1061925,35.21376459,펜션/민박/유스호스텔,8.51
진영모텔,129.1060647,35.2140373,펜션/민박/유스호스텔,8.51
아마존모텔,129.1068925,35.21331442,펜션/민박/유스호스텔,8.51
그랜드모텔,129.1070393,35.21380844,펜션/민박/유스호스텔,8.51
몽블랑모텔,129.1075696,35.21396675,펜션/민박/유스호스텔,8.51
마모텔,129.1071283,35.21399983,펜션/민박/유스호스텔,8.51
빙고모텔,129.1056637,35.21528673,펜션/민박/유스호스텔,8.51
목화모텔,129.0906073,35.25771326,펜션/민박/유스호스텔,8.51
동평장여관,129.0817899,35.22502779,펜션/민박/유스호스텔,8.51
새온천모텔찜질방,129.0815247,35.2240551,펜션/민박/유스호스텔,8.51
