,LOC_NM,LATITUDE,LONGITUDE,관광_지하철,관광_숙박,관광_식음
0,40계단,35.104343,129.03534,3,114,503
1,40계단테마거리,35.10397225,129.0346287,3,122,539
2,BIFF광장,35.09862035,129.0287588,4,177,781
3,광복로,35.09947039,129.0311659,3,176,680
4,백산기념관,35.101955,129.03456,3,138,518
5,보수동책방골목,35.10323904,129.0263248,4,165,878
6,부산근대역사관,35.10266,129.03114,4,157,675
7,부산기상관측소,35.104973,129.03218,3,136,596
8,부산영화체험박물관,35.10169342,129.033594,3,150,557
9,"부산영화체험박물관, 트릭아이뮤지엄부산",35.101692,129.0337,3,149,554
10,용두산공원,35.1009305,129.0324434,3,165,621
11,한성1918 부산생활문화센터,35.10178,129.03444,3,142,531
12,감천문화마을,35.09748815,129.0106077,0,5,157
13,아미동 비석마을,35.099068,129.0127,1,10,282
14,아미동비석마을,35.09903,129.0126,1,9,278
15,최민식갤러리,35.09833,129.01472,1,53,369
16,광안리 해수욕장,35.15318,129.11887,2,85,169
17,국립해양박물관,35.078728,129.08018,0,1,26
18,다대포 꿈의 낙조분수,35.046381718,128.9680068059,1,1,41
19,다대포 해수욕장,35.04652,128.96283,1,1,34
20,다대포해수욕장,35.046381718,128.9680068059,1,1,41
21,몰운대,35.046381718,128.9680068059,1,1,41
22,달맞이동산지구,35.1576814559,129.1825429127,0,10,1
23,동백섬,35.1523420491,129.1513619026,0,31,1
24,렛츠런파크 부산경남,35.1566,128.87521,0,0,29
25,영화의 거리,35.154633,129.14278,1,6,4
26,민락수변공원,35.155907,129.13435,1,47,40
27,금정산,35.280136,129.0512,0,0,0
28,범어사,35.28304308,129.0676212,0,0,19
29,국립부산립국악원,35.17132,129.05424,0,6,75
30,부산시민공원,35.16841,129.05739,2,47,84
31,부산어린이대공원,35.184998,129.04153,0,26,56
32,삼광사,35.175694,129.04338,0,26,82
33,성지곡수원지,35.187065,129.04105,0,26,46
34,송상현광장,35.166397,129.06595,4,49,106
35,APEC나루공원,35.170307,129.12564,3,14,97
36,뮤지엄다,35.171303,129.12901,2,4,47
37,벡스코,35.169247,129.13628,3,4,0
38,부산시립미술관,35.16702,129.1369,3,4,0
39,부산시청자미디어센터,35.17255,129.1302,1,4,37
40,영화의 전당,35.171055,129.12703,2,5,70
41,요트올림픽동산지구,35.1657825586,129.1350266435,3,4,0
42,송도오션파크,35.0727182987,129.017447672,0,48,70
43,송도용궁구름다리,35.06194,129.02191,0,7,3
44,송도해상케이블카,35.07664334,129.0233986,0,45,102
45,송도해수욕장,35.07595,129.01694,0,42,83
46,암남공원/송도해안볼레길,35.058804,129.01566,0,6,2
47,"송정해수욕장, 죽도공원",35.1786,129.19966,0,112,4
48,낙동강하구아미산전망대,35.05276243,128.9607468,1,2,35
49,아미산전망대,35.052727,128.96075,1,2,36
50,스카이워크 시리즈,35.100853,129.1243,0,1,2
51,신선대,35.102272,129.10277,0,0,5
52,오륙도,35.102177,129.12334,0,1,6
53,용호 Sea-Side 관광지,35.101225,129.120361,0,1,6
54,을숙도,35.107143,128.94283,0,0,2
55,을숙도 생태공원,35.11008837,128.9449571095,0,0,2
56,을숙도 철새공원,35.10449092,128.9459791,0,0,2
57,B4291,35.096855,129.03468,3,200,675
58,영도대교,35.09725344,129.035681,3,187,657
59,자갈치시장,35.09661444,129.0305818,3,197,677
60,부산커피박물관,35.15433,129.06453,5,140,205
61,태종대 유원지,35.052643,129.0878,0,0,5
62,해동용궁사,35.188583,129.22346,0,3,35
63,해운대,35.158474,129.15987,1,173,2
64,해운대해수욕장,35.1591069824,129.1602837868,1,174,2
65,황령산 전망쉼터,35.158115,129.08269,0,0,0
66,흰여울문화마을,35.07885,129.04402,0,1,73
67,임랑해수욕장,35.31905,129.26451,0,17,12
68,일광해수욕장,35.260025,129.2336,0,17,80
69,40계단,35.104343,129.03534,3,114,503
70,40계단테마거리,35.10397225,129.0346287,3,122,539
71,BIFF광장,35.09862035,129.0287588,4,177,781
72,광복로,35.09947039,129.0311659,3,176,680
73,백산기념관,35.101955,129.03456,3,138,518
74,보수동책방골목,35.10323904,129.0263248,4,165,878
75,부산근대역사관,35.10266,129.03114,4,157,675
76,부산기상관측소,35.104973,129.03218,3,136,596
77,부산영화체험박물관,35.10169342,129.033594,3,150,557
78,"부산영화체험박물관, 트릭아이뮤지엄부산",35.101692,129.0337,3,149,554
79,용두산공원,35.1009305,129.0324434,3,165,621
80,한성1918 부산생활문화센터,35.10178,129.03444,3,142,531
81,감천문화마을,35.09748815,129.0106077,0,5,157
82,아미동 비석마을,35.099068,129.0127,1,10,282
83,아미동비석마을,35.09903,129.0126,1,9,278
84,최민식갤러리,35.09833,129.01472,1,53,369
85,광안리 해수욕장,35.15318,129.11887,2,85,169
86,국립해양박물관,35.078728,129.08018,0,1,26
87,다대포 꿈의 낙조분수,35.046381718,128.9680068059,1,1,41
88,다대포 해수욕장,35.04652,128.96283,1,1,34
89,다대포해수욕장,35.046381718,128.9680068059,1,1,41
90,몰운대,35.046381718,128.9680068059,1,1,41
91,달맞이동산지구,35.1576814559,129.1825429127,0,10,1
92,동백섬,35.1523420491,129.1513619026,0,31,1
93,렛츠런파크 부산경남,35.1566,128.87521,0,0,29
94,영화의 거리,35.154633,129.14278,1,6,4
95,민락수변공원,35.155907,129.13435,1,47,40
96,금정산,35.280136,129.0512,0,0,0
97,범어사,35.28304308,129.0676212,0,0,19
98,국립부산립국악원,35.17132,129.05424,0,6,75
99,부산시민공원,35.16841,129.05739,2,47,84
100,부산어린이대공원,35.184998,129.04153,0,26,56
101,삼광사,35.175694,129.04338,0,26,82
102,성지곡수원지,35.187065,129.04105,0,26,46
103,송상현광장,35.166397,129.06595,4,49,106
104,APEC나루공원,35.170307,129.12564,3,14,97
105,뮤지엄다,35.171303,129.12901,2,4,47
106,벡스코,35.169247,129.13628,3,4,0
107,부산시립미술관,35.16702,129.1369,3,4,0
108,부산시청자미디어센터,35.17255,129.1302,1,4,37
109,영화의 전당,35.171055,129.12703,2,5,70
110,요트올림픽동산지구,35.1657825586,129.1350266435,3,4,0
111,송도오션파크,35.0727182987,129.017447672,0,48,70
112,송도용궁구름다리,35.06194,129.02191,0,7,3
113,송도해상케이블카,35.07664334,129.0233986,0,45,102
114,송도해수욕장,35.07595,129.01694,0,42,83
115,암남공원/송도해안볼레길,35.058804,129.01566,0,6,2
116,"송정해수욕장, 죽도공원",35.1786,129.19966,0,112,4
117,낙동강하구아미산전망대,35.05276243,128.9607468,1,2,35
118,아미산전망대,35.052727,128.96075,1,2,36
119,스카이워크 시리즈,35.100853,129.1243,0,1,2
120,신선대,35.102272,129.10277,0,0,5
121,오륙도,35.102177,129.12334,0,1,6
122,용호 Sea-Side 관광지,35.101225,129.120361,0,1,6
123,을숙도,35.107143,128.94283,0,0,2
124,을숙도 생태공원,35.11008837,128.9449571095,0,0,2
125,을숙도 철새공원,35.10449092,128.9459791,0,0,2
126,B4291,35.096855,129.03468,3,200,675
127,영도대교,35.09725344,129.035681,3,187,657
128,자갈치시장,35.09661444,129.0305818,3,197,677
129,부산커피박물관,35.15433,129.06453,5,140,205
130,태종대 유원지,35.052643,129.0878,0,0,5
131,해동용궁사,35.188583,129.22346,0,3,35
132,해운대,35.158474,129.15987,1,173,2
133,해운대해수욕장,35.1591069824,129.1602837868,1,174,2
134,황령산 전망쉼터,35.158115,129.08269,0,0,0
135,흰여울문화마을,35.07885,129.04402,0,1,73
136,임랑해수욕장,35.31905,129.26451,0,17,12
137,일광해수욕장,35.260025,129.2336,0,17,80
138,40계단,35.104343,129.03534,3,114,503
139,40계단테마거리,35.10397225,129.0346287,3,122,539
140,BIFF광장,35.09862035,129.0287588,4,177,781
141,광복로,35.09947039,129.0311659,3,176,680
142,백산기념관,35.101955,129.03456,3,138,518
143,보수동책방골목,35.10323904,129.0263248,4,165,878
144,부산근대역사관,35.10266,129.03114,4,157,675
145,부산기상관측소,35.104973,129.03218,3,136,596
146,부산영화체험박물관,35.10169342,129.033594,3,150,557
147,"부산영화체험박물관, 트릭아이뮤지엄부산",35.101692,129.0337,3,149,554
148,용두산공원,35.1009305,129.0324434,3,165,621
149,한성1918 부산생활문화센터,35.10178,129.03444,3,142,531
150,감천문화마을,35.09748815,129.0106077,0,5,157
151,아미동 비석마을,35.099068,129.0127,1,10,282
152,아미동비석마을,35.09903,129.0126,1,9,278
153,최민식갤러리,35.09833,129.01472,1,53,369
154,광안리 해수욕장,35.15318,129.11887,2,85,169
155,국립해양박물관,35.078728,129.08018,0,1,26
156,다대포 꿈의 낙조분수,35.046381718,128.9680068059,1,1,41
157,다대포 해수욕장,35.04652,128.96283,1,1,34
158,다대포해수욕장,35.046381718,128.9680068059,1,1,41
159,몰운대,35.046381718,128.9680068059,1,1,41
160,달맞이동산지구,35.1576814559,129.1825429127,0,10,1
161,동백섬,35.1523420491,129.1513619026,0,31,1
162,렛츠런파크 부산경남,35.1566,128.87521,0,0,29
163,영화의 거리,35.154633,129.14278,1,6,4
164,민락수변공원,35.155907,129.13435,1,47,40
165,금정산,35.280136,129.0512,0,0,0
166,범어사,35.28304308,129.0676212,0,0,19
167,국립부산립국악원,35.17132,129.05424,0,6,75
168,부산시민공원,35.16841,129.05739,2,47,84
169,부산어린이대공원,35.184998,129.04153,0,26,56
170,삼광사,35.175694,129.04338,0,26,82
171,성지곡수원지,35.187065,129.04105,0,26,46
172,송상현광장,35.166397,129.06595,4,49,106
173,APEC나루공원,35.170307,129.12564,3,14,97
174,뮤지엄다,35.171303,129.12901,2,4,47
175,벡스코,35.169247,129.13628,3,4,0
176,부산시립미술관,35.16702,129.1369,3,4,0
177,부산시청자미디어센터,35.17255,129.1302,1,4,37
178,영화의 전당,35.171055,129.12703,2,5,70
179,요트올림픽동산지구,35.1657825586,129.1350266435,3,4,0
180,송도오션파크,35.0727182987,129.017447672,0,48,70
181,송도용궁구름다리,35.06194,129.02191,0,7,3
182,송도해상케이블카,35.07664334,129.0233986,0,45,102
183,송도해수욕장,35.07595,129.01694,0,42,83
184,암남공원/송도해안볼레길,35.058804,129.01566,0,6,2
185,"송정해수욕장, 죽도공원",35.1786,129.19966,0,112,4
186,낙동강하구아미산전망대,35.05276243,128.9607468,1,2,35
187,아미산전망대,35.052727,128.96075,1,2,36
188,스카이워크 시리즈,35.100853,129.1243,0,1,2
189,신선대,35.102272,129.10277,0,0,5
