YYYYMM_BASE,SITE_CD,LOC_NM,LATITUDE,LONGITUDE,AREA_CD,LOAD_DTM,CENT_CD,관광_버스
202006,A01,40계단,35.104343,129.03534,2101051010001,ZZZZZZ,BBP23,190
202006,A01,40계단테마거리,35.10397225,129.0346287,2101051010001,ZZZZZZ,BBP23,200
202006,A01,BIFF광장,35.09862035,129.0287588,2101058010001,ZZZZZZ,BBP23,209
202006,A01,광복로,35.09947039,129.0311659,2101057010002,ZZZZZZ,BBP23,206
202006,A01,백산기념관,35.101955,129.03456,2101052010001,ZZZZZZ,BBP23,188
202006,A01,보수동책방골목,35.10323904,129.0263248,2101054010005,ZZZZZZ,BBP23,277
202006,A01,부산근대역사관,35.10266,129.03114,2101053010002,ZZZZZZ,BBP23,236
202006,A01,부산기상관측소,35.104973,129.03218,2101053010012,ZZZZZZ,BBP23,242
202006,A01,부산영화체험박물관,35.10169342,129.033594,2101052010001,ZZZZZZ,BBP23,196
202006,A01,"부산영화체험박물관, 트릭아이뮤지엄부산",35.101692,129.0337,2101052010001,ZZZZZZ,BBP23,196
202006,A01,용두산공원,35.1009305,129.0324434,2101057010002,ZZZZZZ,BBP23,206
202006,A01,한성1918 부산생활문화센터,35.10178,129.03444,2101052010001,ZZZZZZ,BBP23,190
202006,A02,감천문화마을,35.09748815,129.0106077,2110066010001,ZZZZZZ,BBP23,187
202006,A02,아미동 비석마을,35.099068,129.0127,2102061010013,ZZZZZZ,BBP23,209
202006,A02,아미동비석마을,35.09903,129.0126,2102061010013,ZZZZZZ,BBP23,209
202006,A02,최민식갤러리,35.09833,129.01472,2102061010008,ZZZZZZ,BBP23,219
202006,A03,광안리 해수욕장,35.15318,129.11887,2114057010015,ZZZZZZ,BBP23,108
202006,A04,국립해양박물관,35.078728,129.08018,2104065010019,ZZZZZZ,BBP23,124
202006,A05,다대포 꿈의 낙조분수,35.046381718,128.9680068059,2110062010001,ZZZZZZ,BBP23,86
202006,A05,다대포 해수욕장,35.04652,128.96283,2110062010001,ZZZZZZ,BBP23,86
202006,A05,다대포해수욕장,35.046381718,128.9680068059,2110062010001,ZZZZZZ,BBP23,86
202006,A05,몰운대,35.046381718,128.9680068059,2110062010001,ZZZZZZ,BBP23,86
202006,A06,달맞이동산지구,35.1576814559,129.1825429127,2109054010008,ZZZZZZ,BBP23,122
202006,A07,동백섬,35.1523420491,129.1513619026,2109073010004,ZZZZZZ,BBP23,12
202006,A08,렛츠런파크 부산경남,35.1566,128.87521,2112056110002,ZZZZZZ,BBP23,66
202006,A09,영화의 거리,35.154633,129.14278,2109075010502,ZZZZZZ,BBP23,38
202006,A10,민락수변공원,35.155907,129.13435,2114060010004,ZZZZZZ,BBP23,78
202006,A11,금정산,35.280136,129.0512,2111067020004,ZZZZZZ,BBP23,0
202006,A11,범어사,35.28304308,129.0676212,2111067020004,ZZZZZZ,BBP23,8
202006,A13,국립부산립국악원,35.17132,129.05424,2105054010012,ZZZZZZ,BBP23,193
202006,A13,부산시민공원,35.16841,129.05739,2105054010011,ZZZZZZ,BBP23,254
