,이름,X,Y,대분류,탄소배출량
0,이승학돈까스,129.031248,35.1003921,돼지고기류,1.6
1,금포나루 원조돌게탕,129.0344758,35.0989043,국/탕/찌개류,2.736
2,마카오박,129.0349036,35.0989097,주류,0.32
3,새옹지마,129.0344242,35.0991572,국/탕/찌개류,2.736
4,광복동12시,129.0320703,35.0994927,커피,0.18
5," 마담, 마담 ",129.0316052,35.1000105,커피,0.18
6,꼬모도,129.0317503,35.0993422,패스트푸드류,2.6
7,남포집,129.0343754,35.09877,돼지고기류,1.6
8,쓰리몽키즈,129.034598,35.0990295,주류,0.32
9,Ground27,129.0347707,35.0988027,커피,0.18
10,나폴리화덕,129.0340262,35.0989082,패스트푸드류,2.6
11,스타벅스,129.0351369,35.0982767,커피,0.18
12,들뜸,129.0347906,35.0995146,주류,0.32
13,스타벅스,129.0313428,35.1000758,커피,0.18
14,커브쉐어,129.0340071,35.0982683,밥류,0.414
15,빛날빈,129.032343,35.0993732,밥류,0.414
16,남마담,129.0320474,35.0994208,생선류,5.933
17,공차,129.0335149,35.0983717,커피,0.18
18,끈적국수,129.0312507,35.1014738,면류,1.3
19,황남쫀드기,129.0315277,35.0990827,커피,0.18
20,누에보,129.0348505,35.0990454,주류,0.32
21,용두다방,129.0321573,35.1011776,커피,0.18
22,백소정,129.0314149,35.0997056,돼지고기류,1.6
23,메가MGC커피,129.0352834,35.098582,커피,0.18
24,동삼정,129.0314264,35.1006159,주류,0.32
25,생활맥주,129.0345562,35.0991921,주류,0.32
26,오구작작,129.0341464,35.0988711,주류,0.32
27,핑크 게이트,129.0313378,35.0996792,커피,0.18
28,오오키이,129.0348641,35.0983872,주류,0.32
29,라멘 스스,129.0348641,35.0983872,면류,1.3
30,타카라,129.0343819,35.0992837,주류,0.32
31,노브랜드버거,129.0345351,35.09839,패스트푸드류,2.6
32,더가마솥,129.0314928,35.0997951,밥류,0.414
33,퍼지네이블,129.0345256,35.0993726,주류,0.32
34,제주가,129.0342815,35.0991494,밥류,0.414
35,동백다이닝,129.0318815,35.099305,밥류,0.414
36,콕스테일,129.0341362,35.0989343,주류,0.32
37,오마주,129.0343378,35.0992661,주류,0.32
38,카페 67st,129.0316052,35.1000105,커피,0.18
39,고갈비골목,129.032472,35.0991648,커피,0.18
40,스시이공,129.0343028,35.0991041,생선류,5.933
41,풍악,129.0312173,35.101438,주류,0.32
42,코헨,129.0343819,35.0992837,주류,0.32
43,커피딜라이트,129.0321573,35.1011776,커피,0.18
44,우리할매충무김밥,129.0352824,35.0985099,국/탕/찌개류,2.736
45,에그드랍,129.0340448,35.0986466,패스트푸드류,2.6
46,덕수네애견카페,129.0317503,35.0993422,커피,0.18
47,부산타워 스낵코너,129.0321573,35.1011776,커피,0.18
48,봄베이브로이,129.0339575,35.0986834,밥류,0.414
49,프레전트,129.0343961,35.0986707,커피,0.18
50,색bar,129.0317503,35.0993422,주류,0.32
51,여여해,129.0345351,35.09839,커피,0.18
52,밥한상,129.0314229,35.1003455,밥류,0.414
53,라짜이 마라탕,129.0312241,35.1002301,국/탕/찌개류,2.736
54,이가네커피,129.0335028,35.0982817,커피,0.18
55,제이제이,129.0312173,35.101438,주류,0.32
56,아미고,129.0345256,35.0993726,주류,0.32
57,대웅,129.0348505,35.0990454,주류,0.32
58,술잔에달,129.0351843,35.0985558,주류,0.32
59,토스트릿커피,129.0321573,35.1011776,커피,0.18
60,오가네멸치국수,129.0314928,35.0997951,밥류,0.414
61,제이비어,129.0341464,35.0988711,주류,0.32
62,불잉걸,129.031376,35.1001026,밥류,0.414
63,음악이좋은사람들,129.0341464,35.0988711,주류,0.32
64,남포보리밥,129.0348821,35.0989459,국/탕/찌개류,2.736
65,용두산칼국수,129.0322878,35.0993466,주류,0.32
66,쌍떼드쌀빵,129.0350337,35.0987914,밥류,0.414
67,할리스,129.0324766,35.09866,커피,0.18
68,할매 가야밀면,129.0312297,35.098932,면류,1.3
69,수복센타,129.031481,35.0988577,국/탕/찌개류,2.736
70,서울깍두기,129.0323983,35.0985435,국/탕/찌개류,2.736
71,부산명물횟집,129.0311189,35.0971031,생선류,5.933
72,도라보울,129.0319505,35.0986915,밥류,0.414
73,18번완당집,129.0284663,35.0989735,면류,1.3
74,이승학돈까스,129.031248,35.1003921,돼지고기류,1.6
75,금포나루 원조돌게탕,129.0344758,35.0989043,국/탕/찌개류,2.736
76,카마타케 제면소,129.0285762,35.0989906,면류,1.3
77,김해식당,129.029939,35.0974737,생선류,5.933
78,스시부엌,129.0329193,35.0981064,생선류,5.933
79,영심이찐빵,129.0265125,35.0971061,밥류,0.414
80,채도,129.0300658,35.0988337,커피,0.18
81,제일꼼장어,129.0322715,35.0971834,생선류,5.933
82,하카다라멘,129.0292103,35.098832,면류,1.3
83,고집파닭,129.0288402,35.0990515,닭고기류,0.3
84,탑플로어,129.0307995,35.0987373,커피,0.18
85,냉삼의 정점,129.0326451,35.0981087,돼지고기류,1.6
86,홍유단,129.0320353,35.0984564,면류,1.3
87,마카오박,129.0349036,35.0989097,주류,0.32
88,새옹지마,129.0344242,35.0991572,국/탕/찌개류,2.736
89,광복동12시,129.0320703,35.0994927,커피,0.18
90,술이야,129.0356068,35.0964068,돼지고기류,1.6
91,오뚝이양분식,129.0309091,35.0987364,돼지고기류,1.6
92,은주네횟집,129.030608,35.0965936,생선류,5.933
93," 마담, 마담 ",129.0316052,35.1000105,커피,0.18
94,남포 삼계탕,129.0303722,35.098777,국/탕/찌개류,2.736
95,분짜라붐,129.0293441,35.0990021,밥류,0.414
96,구땡식당,129.0285788,35.0983235,돼지고기류,1.6
97,고등어정식할매집,129.027004,35.0969397,생선류,5.933
98,영도횟집,129.030608,35.0965936,생선류,5.933
99,백호상회,129.030608,35.0965936,생선류,5.933
100,꼬모도,129.0317503,35.0993422,패스트푸드류,2.6
101,커피네루다,129.033585,35.0978483,커피,0.18
102,남포집,129.0343754,35.09877,돼지고기류,1.6
103,쓰리몽키즈,129.034598,35.0990295,주류,0.32
104,수정횟집,129.0313718,35.097155,생선류,5.933
105,아비꼬,129.0302413,35.0988322,밥류,0.414
106,Ground27,129.0347707,35.0988027,커피,0.18
107,장한상회,129.0290755,35.096832,생선류,5.933
108,범전동오뎅집,129.0267491,35.0976089,밥류,0.414
109,류이즈 커피바,129.0293421,35.0988489,커피,0.18
110,나폴리화덕,129.0340262,35.0989082,패스트푸드류,2.6
111,톤블랙&텐뿌라나인,129.0313354,35.0986156,밥류,0.414
