,Unnamed: 0,LOC_NM,LATITUDE,LONGITUDE,관광_지하철,관광_숙박,관광_식음,관광_버스
0,0,40계단,35.104343,129.03534,3,114,503,190
1,1,40계단테마거리,35.10397225,129.0346287,3,122,539,200
2,2,BIFF광장,35.09862035,129.0287588,4,177,781,209
3,3,광복로,35.09947039,129.0311659,3,176,680,206
4,4,백산기념관,35.101955,129.03456,3,138,518,188
5,5,보수동책방골목,35.10323904,129.0263248,4,165,878,277
6,6,부산근대역사관,35.10266,129.03114,4,157,675,236
7,7,부산기상관측소,35.104973,129.03218,3,136,596,242
8,8,부산영화체험박물관,35.10169342,129.033594,3,150,557,196
9,9,"부산영화체험박물관, 트릭아이뮤지엄부산",35.101692,129.0337,3,149,554,196
10,10,용두산공원,35.1009305,129.0324434,3,165,621,206
11,11,한성1918 부산생활문화센터,35.10178,129.03444,3,142,531,190
12,12,감천문화마을,35.09748815,129.0106077,0,5,157,187
13,13,아미동 비석마을,35.099068,129.0127,1,10,282,209
14,14,아미동비석마을,35.09903,129.0126,1,9,278,209
15,15,최민식갤러리,35.09833,129.01472,1,53,369,219
16,16,광안리 해수욕장,35.15318,129.11887,2,85,169,108
17,17,국립해양박물관,35.078728,129.08018,0,1,26,124
18,18,다대포 꿈의 낙조분수,35.046381718,128.9680068059,1,1,41,86
19,19,다대포 해수욕장,35.04652,128.96283,1,1,34,86
20,20,다대포해수욕장,35.046381718,128.9680068059,1,1,41,86
21,21,몰운대,35.046381718,128.9680068059,1,1,41,86
22,22,달맞이동산지구,35.1576814559,129.1825429127,0,10,1,122
23,23,동백섬,35.1523420491,129.1513619026,0,31,1,12
24,24,렛츠런파크 부산경남,35.1566,128.87521,0,0,29,66
25,25,영화의 거리,35.154633,129.14278,1,6,4,38
26,26,민락수변공원,35.155907,129.13435,1,47,40,78
27,27,금정산,35.280136,129.0512,0,0,0,0
28,28,범어사,35.28304308,129.0676212,0,0,19,8
29,29,국립부산립국악원,35.17132,129.05424,0,6,75,193
30,30,부산시민공원,35.16841,129.05739,2,47,84,254
31,31,부산어린이대공원,35.184998,129.04153,0,26,56,60
32,32,삼광사,35.175694,129.04338,0,26,82,114
33,33,성지곡수원지,35.187065,129.04105,0,26,46,44
34,34,송상현광장,35.166397,129.06595,4,49,106,299
35,35,APEC나루공원,35.170307,129.12564,3,14,97,163
36,36,뮤지엄다,35.171303,129.12901,2,4,47,128
37,37,벡스코,35.169247,129.13628,3,4,0,86
38,38,부산시립미술관,35.16702,129.1369,3,4,0,88
39,39,부산시청자미디어센터,35.17255,129.1302,1,4,37,136
40,40,영화의 전당,35.171055,129.12703,2,5,70,156
41,41,요트올림픽동산지구,35.1657825586,129.1350266435,3,4,0,104
42,42,송도오션파크,35.0727182987,129.017447672,0,48,70,70
43,43,송도용궁구름다리,35.06194,129.02191,0,7,3,36
44,44,송도해상케이블카,35.07664334,129.0233986,0,45,102,68
45,45,송도해수욕장,35.07595,129.01694,0,42,83,74
46,46,암남공원/송도해안볼레길,35.058804,129.01566,0,6,2,54
47,47,"송정해수욕장, 죽도공원",35.1786,129.19966,0,112,4,46
48,48,낙동강하구아미산전망대,35.05276243,128.9607468,1,2,35,134
49,49,아미산전망대,35.052727,128.96075,1,2,36,134
50,50,스카이워크 시리즈,35.100853,129.1243,0,1,2,36
51,51,신선대,35.102272,129.10277,0,0,5,14
52,52,오륙도,35.102177,129.12334,0,1,6,42
53,53,용호 Sea-Side 관광지,35.101225,129.120361,0,1,6,50
54,54,을숙도,35.107143,128.94283,0,0,2,16
55,55,을숙도 생태공원,35.11008837,128.9449571095,0,0,2,16
56,56,을숙도 철새공원,35.10449092,128.9459791,0,0,2,16
57,57,B4291,35.096855,129.03468,3,200,675,188
58,58,영도대교,35.09725344,129.035681,3,187,657,184
59,59,자갈치시장,35.09661444,129.0305818,3,197,677,198
60,60,부산커피박물관,35.15433,129.06453,5,140,205,306
61,61,태종대 유원지,35.052643,129.0878,0,0,5,0
62,62,해동용궁사,35.188583,129.22346,0,3,35,26
63,63,해운대,35.158474,129.15987,1,173,2,92
64,64,해운대해수욕장,35.1591069824,129.1602837868,1,174,2,94
65,65,황령산 전망쉼터,35.158115,129.08269,0,0,0,30
66,66,흰여울문화마을,35.07885,129.04402,0,1,73,128
67,67,임랑해수욕장,35.31905,129.26451,0,17,12,40
68,68,일광해수욕장,35.260025,129.2336,0,17,80,102
69,69,40계단,35.104343,129.03534,3,114,503,190
70,70,40계단테마거리,35.10397225,129.0346287,3,122,539,200
71,71,BIFF광장,35.09862035,129.0287588,4,177,781,209
72,72,광복로,35.09947039,129.0311659,3,176,680,206
73,73,백산기념관,35.101955,129.03456,3,138,518,188
74,74,보수동책방골목,35.10323904,129.0263248,4,165,878,277
75,75,부산근대역사관,35.10266,129.03114,4,157,675,236
76,76,부산기상관측소,35.104973,129.03218,3,136,596,242
77,77,부산영화체험박물관,35.10169342,129.033594,3,150,557,196
78,78,"부산영화체험박물관, 트릭아이뮤지엄부산",35.101692,129.0337,3,149,554,196
79,79,용두산공원,35.1009305,129.0324434,3,165,621,206
80,80,한성1918 부산생활문화센터,35.10178,129.03444,3,142,531,190
81,81,감천문화마을,35.09748815,129.0106077,0,5,157,187
82,82,아미동 비석마을,35.099068,129.0127,1,10,282,209
83,83,아미동비석마을,35.09903,129.0126,1,9,278,209
84,84,최민식갤러리,35.09833,129.01472,1,53,369,219
85,85,광안리 해수욕장,35.15318,129.11887,2,85,169,108
86,86,국립해양박물관,35.078728,129.08018,0,1,26,124
87,87,다대포 꿈의 낙조분수,35.046381718,128.9680068059,1,1,41,86
88,88,다대포 해수욕장,35.04652,128.96283,1,1,34,86
89,89,다대포해수욕장,35.046381718,128.9680068059,1,1,41,86
