"STN_CD","LONGITUDE","LATITUDE","STN_NM","LOAD_DATE"
"2600002","128.9616","35.04934",다대포,"20220104"
"2600002","128.9616","35.04934",다대포,"20231208"
"2600003","128.96552","35.04822",다대포해수욕장역,"20220104"
"2600003","128.96552","35.04822",다대포해수욕장역,"20231208"
"2600004","128.96751","35.05007",몰운대아파트,"20220104"
"2600004","128.96751","35.05007",몰운대아파트,"20231208"
"2600006","128.97097","35.05157",다대자유아파트,"20220104"
"2600006","128.97097","35.05157",다대자유아파트,"20231208"
"2600007","128.97169","35.05507",다대회센터,"20220104"
"2600007","128.97169","35.05507",다대회센터,"20231208"
"2600008","128.97165","35.05605",다대포항역.다대수협,"20220104"
"2600008","128.97165","35.05605",다대포항역.다대수협,"20231208"
"2600009","128.97349","35.0575",다대새마을금고,"20220104"
"2600009","128.97349","35.0575",다대새마을금고,"20231208"
"2600012","128.97662","35.06164",다대현대아파트,"20220104"
"2600012","128.97662","35.06164",다대현대아파트,"20231208"
"2600013","128.97967","35.0643",낫개역,"20220104"
"2600013","128.97967","35.0643",낫개역,"20231208"
"2600014","129.02938","35.17142",백양뜨란채아파트,"20220104"
"2600014","129.02938","35.17142",백양뜨란채아파트,"20231208"
"2600016","128.97693","35.07525",신장림역,"20220104"
"2600016","128.97693","35.07525",신장림역,"20231208"
"2600017","128.97746","35.07827",영남중학교,"20220104"
"2600017","128.97746","35.07827",영남중학교,"20231208"
"2600018","128.97586","35.08073",장림초등학교,"20220104"
"2600018","128.97586","35.08073",장림초등학교,"20231208"
"2600019","128.97316","35.08074",장림우체국,"20220104"
"2600019","128.97316","35.08074",장림우체국,"20231208"
"2600020","128.97095","35.08077",장림중소기업은행,"20220104"
"2600020","128.97095","35.08077",장림중소기업은행,"20231208"
"2600021","128.9681","35.08102",장림시장,"20220104"
"2600021","128.9681","35.08102",장림시장,"20231208"
"2600022","128.96518","35.08425",장림포구입구,"20220104"
"2600022","128.96518","35.08425",장림포구입구,"20231208"
"2600023","128.96525","35.08633",한국주철관,"20220104"
"2600023","128.96525","35.08633",한국주철관,"20231208"
"2600024","128.96533","35.08902",신평2동교차로,"20220104"
"2600024","128.96533","35.08902",신평2동교차로,"20231208"
"2600025","128.96432","35.09173",동성화학,"20220104"
"2600025","128.96432","35.09173",동성화학,"20231208"
"2600026","128.96227","35.09527",신평역,"20220104"
"2600026","128.96227","35.09527",신평역,"20231208"
"2600027","128.96138","35.09758",신남초등학교,"20220104"
"2600027","128.96138","35.09758",신남초등학교,"20231208"
"2600028","128.959","35.09912",하남초등학교,"20220104"
"2600028","128.959","35.09912",하남초등학교,"20231208"
"2600029","128.95833","35.1016",가락타운2.3단지,"20220104"
"2600029","128.95833","35.1016",가락타운2.3단지,"20231208"
"2600030","128.95855","35.10466",강변아파트,"20220104"
"2600030","128.95855","35.10466",강변아파트,"20231208"
"2600031","128.95902","35.1089",가락타운104동,"20220104"
"2600031","128.95902","35.1089",가락타운104동,"20231208"
"2600032","128.95996","35.11244",가락타운115동,"20220104"
"2600032","128.95996","35.11244",가락타운115동,"20231208"
"2600033","128.96167","35.11457",을숙도초등학교,"20220104"
"2600033","128.96167","35.11457",을숙도초등학교,"20231208"
"2600034","128.96421","35.11232",동아대입구,"20220104"
"2600034","128.96421","35.11232",동아대입구,"20231208"
"2600035","128.96531","35.11065",에덴공원,"20220104"
"2600035","128.96531","35.11065",에덴공원,"20231208"
"2600036","128.96739","35.1075",하단교차로,"20220104"
"2600036","128.96739","35.1075",하단교차로,"20231208"
"2600038","128.97812","35.1015",당리중학교,"20220104"
"2600038","128.97812","35.1015",당리중학교,"20231208"
"2600040","128.98581","35.09912",괴정삼익아파트,"20220104"
"2600040","128.98581","35.09912",괴정삼익아파트,"20231208"
"2600041","128.98954","35.09909",괴정자유아파트,"20220104"
"2600041","128.98954","35.09909",괴정자유아파트,"20231208"
"2600042","128.99563","35.10087",괴정시장,"20220104"
"2600042","128.99563","35.10087",괴정시장,"20231208"
"2600043","128.99855","35.10228",괴정초등학교,"20220104"
"2600043","128.99855","35.10228",괴정초등학교,"20231208"
"2600044","129.00132","35.10388",대티역,"20220104"
"2600044","129.00132","35.10388",대티역,"20231208"
"2600045","129.00403","35.10552",괴정2치안센터,"20220104"
"2600045","129.00403","35.10552",괴정2치안센터,"20231208"
"2600046","129.00813","35.10701",대티고개,"20220104"
"2600046","129.00813","35.10701",대티고개,"20231208"
"2600047","129.00947","35.10915",민들레맨션,"20220104"
"2600047","129.00947","35.10915",민들레맨션,"20231208"
"2600048","129.0099","35.11105",광민약국서대신동,"20220104"
"2600048","129.0099","35.11105",광민약국서대신동,"20231208"
"2600050","129.01323","35.11227",서대신역.서대신교차로,"20220104"
"2600050","129.01323","35.11227",서대신역.서대신교차로,"20231208"
"2600051","129.01396","35.11354",부경고교,"20220104"
"2600051","129.01396","35.11354",부경고교,"20231208"
"2600052","129.0187","35.11504",동신초등학교,"20220104"
"2600052","129.0187","35.11504",동신초등학교,"20231208"
"2600053","129.02134","35.11256",서여고,"20220104"
"2600053","129.02134","35.11256",서여고,"20231208"
"2600061","129.06053","35.14092",자유.평화시장,"20220104"
"2600061","129.06053","35.14092",자유.평화시장,"20231208"
"2600062","129.06313","35.14058",범5호교,"20220104"
"2600062","129.06313","35.14058",범5호교,"20231208"
"2600063","129.06242","35.13731",자성대,"20220104"
"2600063","129.06242","35.13732",부산진성공원,"20231208"
"2600069","129.04158","35.12018",초량역3번출구,"20220104"
"2600069","129.04158","35.12018",초량역3번출구,"20231208"
"2600071","129.03502","35.11226",영주동,"20220104"
"2600071","129.03502","35.11226",영주동,"20231208"
"2600074","129.01672","35.11654",구덕운동장,"20220104"
"2600074","129.01672","35.11654",구덕운동장,"20231208"
"2600076","129.00969","35.11118",광민약국서대신동,"20220104"
"2600076","129.00969","35.11118",광민약국서대신동,"20231208"
"2600077","129.00913","35.10876",민들레맨션,"20220104"
"2600077","129.00913","35.10876",민들레맨션,"20231208"
"2600078","129.00727","35.10672",대티고개,"20220104"
"2600078","129.00727","35.10672",대티고개,"20231208"
"2600079","129.00371","35.10552",괴정2치안센터,"20220104"
"2600079","129.00371","35.10552",괴정2치안센터,"20231208"
"2600080","129.00112","35.10397",대티역,"20220104"
"2600080","129.00112","35.10397",대티역,"20231208"
"2600081","128.99837","35.10258",괴정초등학교,"20220104"
"2600081","128.99837","35.10258",괴정초등학교,"20231208"
"2600083","128.98867","35.09937",괴정자유아파트,"20220104"
"2600083","128.98867","35.09937",괴정자유아파트,"20231208"
"2600084","128.98531","35.09956",괴정삼익아파트,"20220104"
"2600084","128.98531","35.09956",괴정삼익아파트,"20231208"
"2600085","128.98078","35.10052",사하역,"20220104"
"2600085","128.98078","35.10052",사하역,"20231208"
"2600086","128.9778","35.10215",당리중학교,"20220104"
"2600086","128.9778","35.10215",당리중학교,"20231208"
"2600088","128.97135","35.10452",낙동초등학교,"20220104"
"2600088","128.97135","35.10452",낙동초등학교,"20231208"
"2600090","128.96777","35.10766",하단교차로,"20220104"
"2600090","128.96777","35.10766",하단교차로,"20231208"
"2600091","128.96567","35.11083",에덴공원,"20220104"
"2600091","128.96567","35.11083",에덴공원,"20231208"
"2600092","128.96451","35.1126",동아대입구,"20220104"
"2600092","128.96451","35.1126",동아대입구,"20231208"
"2600093","128.95964","35.1126",가락타운115동,"20220104"
"2600093","128.95964","35.1126",가락타운115동,"20231208"
"2600094","128.95869","35.10933",가락타운104동,"20220104"
"2600094","128.95869","35.10933",가락타운104동,"20231208"
"2600095","128.9582","35.10399",강변아파트,"20220104"
"2600095","128.9582","35.10399",강변아파트,"20231208"
"2600096","128.95805","35.10138",가락타운2.3단지,"20220104"
"2600096","128.95805","35.10138",가락타운2.3단지,"20231208"
"2600097","128.95894","35.09886",하남초등학교,"20220104"
"2600097","128.95894","35.09886",하남초등학교,"20231208"
"2600098","128.96098","35.09766",신남초등학교,"20220104"
"2600098","128.96098","35.09766",신남초등학교,"20231208"
"2600099","128.96208","35.0948",신평역,"20220104"
"2600099","128.96208","35.0948",신평역,"20231208"
"2600100","128.96426","35.09124",동성화학,"20220104"
"2600100","128.96426","35.09124",동성화학,"20231208"
"2600101","128.965","35.08932",신평2동교차로,"20220104"
"2600101","128.965","35.08932",신평2동교차로,"20231208"
"2600102","128.96489","35.08644",한국주철관,"20220104"
"2600102","128.96489","35.08644",한국주철관,"20231208"
"2600103","128.96473","35.08457",장림포구입구,"20220104"
"2600103","128.96473","35.08457",장림포구입구,"20231208"
"2600104","128.96802","35.08079",장림시장,"20220104"
"2600104","128.96802","35.08079",장림시장,"20231208"
"2600105","128.97027","35.0806",장림중소기업은행,"20220104"
"2600105","128.97027","35.0806",장림중소기업은행,"20231208"
"2600106","128.97227","35.08057",장림우체국,"20220104"
"2600106","128.97227","35.08057",장림우체국,"20231208"
"2600107","128.97715","35.08007",장림역,"20220104"
"2600107","128.97715","35.08007",장림역,"20231208"
"2600108","128.97711","35.07815",영남중학교,"20220104"
"2600108","128.97711","35.07815",영남중학교,"20231208"
"2600109","128.97673","35.07592",신장림역,"20220104"
"2600109","128.97673","35.07592",신장림역,"20231208"
"2600111","129.02917","35.17128",백양뜨란채아파트,"20220104"
