_행정구,행정동,이름,주소,도로명 주소,카테고리,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명,대분류
중구,광복동,이승학돈까스,부산광역시 중구 광복동3가 6-3,부산광역시 중구 광복중앙로 12 2층 이승학돈까스,돈까스,부산광역시 중구 광복동3가 6-3,129.031248,35.1003921,정좌표,2.61101e+18,구주소,부산광역시 중구 광복중앙로 12,부산광역시 중구 광복동3가 6-3,48949.0,2611057000.0,광복동,2611013500,광복동3가,돼지고기류
중구,광복동,금포나루 원조돌게탕,부산광역시 중구 광복동1가 21,부산광역시 중구 광복로97번안길 11," 돌게탕, la갈비 ",부산광역시 중구 광복동1가 21,129.0344758,35.0989043,정좌표,2.61101e+18,구주소,부산광역시 중구 광복로97번안길 11,부산광역시 중구 광복동1가 21,48952.0,2611057000.0,광복동,2611013300,광복동1가,국/탕/찌개류
중구,광복동,마카오박,부산광역시 중구 광복동1가 30-4,부산광역시 중구 광복로 91-12," 맥주, 감바스 ",부산광역시 중구 광복동1가 30-4,129.0349036,35.0989097,정좌표,2.61101e+18,구주소,부산광역시 중구 광복로 91-12,부산광역시 중구 광복동1가 30-4,48952.0,2611057000.0,광복동,2611013300,광복동1가,주류
중구,광복동,새옹지마,부산광역시 중구 광복동1가 5-9,부산광역시 중구 광복로97번안길 10," 돌게탕, la갈비 ",부산광역시 중구 광복동1가 5-9,129.0344242,35.0991572,정좌표,2.61101e+18,구주소,부산광역시 중구 광복로97번안길 10,부산광역시 중구 광복동1가 5-9,48952.0,2611057000.0,광복동,2611013300,광복동1가,국/탕/찌개류
중구,광복동,광복동12시,부산광역시 중구 광복동2가 2-46,부산광역시 중구 광복로67번길 20-14," 커피, 치즈케이크 ",부산광역시 중구 광복동2가 2-46,129.0320703,35.0994927,정좌표,2.61101e+18,구주소,부산광역시 중구 광복로67번길 20-14,부산광역시 중구 광복동2가 2-46,48952.0,2611057000.0,광복동,2611013400,광복동2가,커피
중구,광복동," 마담, 마담 "," 부산광역시 중구 광복동3가 5-6 1,2층 "," 부산광역시 중구 광복로67번길 30-18 1,2층 "," 브런치, 카페 ","부산광역시 중구 광복동3가 5-6 1,2층 ",129.0316052,35.1000105,정좌표,2.61101e+18,구주소,부산광역시 중구 광복로67번길 30-18,부산광역시 중구 광복동3가 5-6,48949.0,2611057000.0,광복동,2611013500,광복동3가,커피
중구,광복동,꼬모도,부산광역시 중구 광복동2가 11-1,부산광역시 중구 광복로 59-1," 화덕피자, 파스타 ",부산광역시 중구 광복동2가 11-1,129.0317503,35.0993422,정좌표,2.61101e+18,구주소,부산광역시 중구 광복로 59-1,부산광역시 중구 광복동2가 11-1,48952.0,2611057000.0,광복동,2611013400,광복동2가,패스트푸드류
중구,광복동,남포집,부산 중구 광복동1가 19-1,부산광역시 중구 광복로85번길 4," 삼겹살, 양곱창 ",부산 중구 광복동1가 19-1,129.0343754,35.09877,정좌표,2.61101e+18,구주소,부산광역시 중구 광복로85번길 4,부산광역시 중구 광복동1가 19-1,48952.0,2611057000.0,광복동,2611013300,광복동1가,돼지고기류
중구,광복동,쓰리몽키즈,부산광역시 중구 광복동1가 29-2,부산광역시 중구 광복로97번안길 9," 맥주, 수제맥주 ",부산광역시 중구 광복동1가 29-2,129.034598,35.0990295,정좌표,2.61101e+18,구주소,부산광역시 중구 광복로97번안길 9,부산광역시 중구 광복동1가 29-2,48952.0,2611057000.0,광복동,2611013300,광복동1가,주류
중구,광복동,Ground27,부산광역시 중구 광복동1가 27,부산광역시 중구 광복로 91 1층," 커피, 밀크티 ",부산광역시 중구 광복동1가 27,129.0347707,35.0988027,정좌표,2.61101e+18,구주소,부산광역시 중구 광복로 91,부산광역시 중구 광복동1가 27,48952.0,2611057000.0,광복동,2611013300,광복동1가,커피
