"SWST_ID","TZ_AREA_VAL","TZ_AREA_XCRDT_VAL","TZ_AREA_YCRDT_VAL","DATE_UPD"
"100","2110058020014",128.970954918,35.088275049,2022-07-19
"101","2110059010001",128.960564767,35.091202363,2022-07-19
"102","2110056020006",128.966655081,35.105667433,2022-07-19
"103","2110055030007",128.973158723,35.104463413,2022-07-19
"104","2110054020005",128.982843458,35.101076844,2022-07-19
"105","2110051010008",128.991362790,35.100614811,2022-07-19
"106","2110052010002",128.999788387,35.101947602,2022-07-19
"107","2102054010004",129.010842300,35.111164100,2022-07-19
"108","2102052020003",129.018541710,35.111166043,2022-07-19
"109","2102064010007",129.020512193,35.101131145,2022-07-19
"110","2101058020001",129.030693294,35.097037588,2022-07-19
"111","2101058010001",129.029342760,35.098247952,2022-07-19
"112","2101051010003",129.035990695,35.103394264,2022-07-19
"113","2103053010001",129.048438900,35.119651900,2022-07-19
"114","2103053010001",129.048438900,35.119651900,2022-07-19
"115","2103057010002",129.048908117,35.129246830,2022-07-19
"116","2103070020001",129.054423413,35.133198518,2022-07-19
"117","2103066030001",129.060992703,35.138713332,2022-07-19
"118","2105077020007",129.060450373,35.149632145,2022-07-19
"119","2105082020002",129.060896156,35.159111035,2022-07-19
"120","2105061010002",129.065907694,35.165316081,2022-07-19
"121","2105057020007",129.072294784,35.172627775,2022-07-19
"122","2113059020005",129.075092136,35.179819016,2022-07-19
"123","2113059010001",129.079731124,35.188782505,2022-07-19
"124","2113051010001",129.080759647,35.194797716,2022-07-19
"125","2106056010001",129.079386960,35.210161550,2022-07-19
"126","2106065010008",129.082346200,35.213916600,2022-07-19
"127","2106055010007",129.085210688,35.219960643,2022-07-19
"128","2111074020002",129.087677495,35.230440304,2022-07-19
"129","2111061010002",129.088116542,35.238032397,2022-07-19
"130","2111069030007",129.090560365,35.250228466,2022-07-19
"131","2111070020003",129.091932790,35.257142003,2022-07-19
"132","2111068020001",129.092497944,35.265267976,2022-07-19
"133","2111067020102",129.093140669,35.273051693,2022-07-19
"134","2111067020001",129.098626245,35.284793583,2022-07-19
"201","2109066030001",129.176241770,35.171104585,2022-07-19
"202","2109053020001",129.168403944,35.165414847,2022-07-19
"203","2109073020015",129.157922825,35.163550873,2022-07-19
"204","2109073020006",129.143307599,35.162463699,2022-07-19
"205","2109074100001",129.137560035,35.164100031,2022-07-19
"206","2109074010001",129.132363834,35.169278007,2022-07-19
"207","2114060010101",129.120344757,35.166700511,2022-07-19
"208","2114058020001",129.116310759,35.166408767,2022-07-19
"209","2114057012502",129.113481094,35.158026861,2022-07-19
"210","2114051010003",129.109968532,35.149666744,2022-07-19
"211","2114051020007",129.108422413,35.142141234,2022-07-19
"212","2107053030004",129.100452999,35.136952674,2022-07-19
"213","2107055010009",129.092212202,35.135369161,2022-07-19
"214","2107056010001",129.084952630,35.136084079,2022-07-19
"215","2107068010001",129.073851095,35.136539798,2022-07-19
"216","2107068010201",129.067961739,35.139346591,2022-07-19
"217","2107067010003",129.067210829,35.145891100,2022-07-19
"218","2105083010006",129.063668463,35.153336284,2022-07-19
"219","2105082030001",129.057649873,35.161260360,2022-07-19
"220","2105084020006",129.049938957,35.156978624,2022-07-19
"221","2105081010005",129.042790238,35.156334568,2022-07-19
"222","2105081020020",129.033038411,35.153133300,2022-07-19
"223","2105074010101",129.018150309,35.152896091,2022-07-19
"224","2115061030019",129.012100521,35.150574601,2022-07-19
"225","2115062010002",129.001752837,35.149711085,2022-07-19
"226","2115065020010",128.990916197,35.152648061,2022-07-19
"227","2115057020019",128.983850642,35.162576368,2022-07-19
"228","2115056010001",128.981979122,35.173936853,2022-07-19
"229","2115056010004",128.985364975,35.178586179,2022-07-19
"230","2115052030201",128.989183129,35.189480999,2022-07-19
"231","2108052050004",128.995730482,35.197479427,2022-07-19
"232","2108052010101",128.999851344,35.202235158,2022-07-19
"233","2108057010005",129.007008392,35.211082291,2022-07-19
"234","2108055030123",129.009225889,35.219479263,2022-07-19
"235","2108062010004",129.014859702,35.235972236,2022-07-19
"236","2108062020001",129.033886968,35.248771469,2022-07-19
"237","2108054010001",129.011787436,35.256319381,2022-07-19
"238","2108054010001",129.011787436,35.256319381,2022-07-19
"301","2114058010009",129.113598700,35.168102800,2022-07-19
"302","2114058010014",129.107426303,35.170784754,2022-07-19
"303","2113057010001",129.095124505,35.173101399,2022-07-19
"304","2113060010018",129.086034811,35.177720894,2022-07-19
"305","2113059010001",129.079731124,35.188782505,2022-07-19
"306","2113053010006",129.074116126,35.187461179,2022-07-19
"307","2113052020203",129.068330815,35.191735010,2022-07-19
"308","2106058020004",129.064499907,35.197722722,2022-07-19
"309","2106057020202",129.069054294,35.205276134,2022-07-19
"310","2108059010003",129.046668814,35.213101422,2022-07-19
"311","2108056020002",129.023976331,35.213858439,2022-07-19
"312","2108056020001",129.011706609,35.212280009,2022-07-19
"313","2108057010005",129.007008392,35.211082291,2022-07-19
"314","2108051020006",128.997844040,35.206727985,2022-07-19
"315","2112051040001",128.979895383,35.207760513,2022-07-19
"316","2112051050002",128.953795057,35.201519695,2022-07-19
"317","2112051050002",128.953795057,35.201519695,2022-07-19
"401","2106057020015",129.070102962,35.206944180,2022-07-19
"402","2106056010001",129.079386960,35.210161550,2022-07-19
"403","2106051020003",129.083415129,35.200596808,2022-07-19
"404","2106051030004",129.089851319,35.200114472,2022-07-19
"405","2106061010011",129.095093528,35.200427845,2022-07-19
"406","2106064011402",129.100527862,35.204907598,2022-07-19
"407","2111052010016",129.107522029,35.213630207,2022-07-19
"408","2111073030005",129.116053678,35.219923767,2022-07-19
"409","2109072010001",129.130664087,35.222776902,2022-07-19
"410","2109072010001",129.130664087,35.222776902,2022-07-19
"411","2109072020002",129.146598303,35.223149734,2022-07-19
"412","2109062020003",129.152082259,35.233008323,2022-07-19
"413","2131033030001",129.165042859,35.248754679,2022-07-19
"414","2131033040001",129.179355142,35.234546129,2022-07-19
"95","2110062010010",128.965339921,35.050268121,2022-07-19
"96","2110062010018",128.971289578,35.057728923,2022-07-19
"97","2110063020002",128.992370466,35.050864633,2022-07-19
"98","2110061010005",128.978173924,35.072812964,2022-07-19
"99","2110061010004",128.981961169,35.078849677,2022-07-19
